cource,day,venues,period
GEO 111,04/12/2023,,8:00-11:00
MCB 221,04/12/2023,"CBN, FLT",8:00-11:00
ANT 318,04/12/2023,,8:00-11:00
ICH 347,04/12/2023,C15,8:00-11:00
PHY 310,04/12/2023,200LAB,8:00-11:00
MAT 321,04/12/2023,MLT,8:00-11:00
BOT 321,04/12/2023,"LABA1,LABA2",8:00-11:00
CSC 472,04/12/2023,"KDLT, CLT",8:00-11:00
GEY 437,04/12/2023,,8:00-11:00
STA 441,04/12/2023,ROOM023,8:00-11:00
ZOO 411,04/12/2023,ZLT,8:00-11:00
STA112/115,04/12/2023,CBN,12:00-15:00
MAT 241,04/12/2023,"NFLT, SLT, FLT, NPL1, NPL2, MLT",12:00-15:00
BOT 211,04/12/2023,"LABAI, FYL",12:00-15:00
CSC 341,04/12/2023,"KDLT,CLT",12:00-15:00
GEO 313,04/12/2023,GEY 324,12:00-15:00
MCB 323,04/12/2023,"LABAI,LABAB",12:00-15:00
PHY 302,04/12/2023,200LAB,12:00-15:00
ZOO 318,04/12/2023,ZLT,12:00-15:00
CHE 456,04/12/2023,"FFL,CS",12:00-15:00
GEO 483,04/12/2023,,12:00-15:00
ZOO 411,04/12/2023,D11,12:00-15:00
BOT 111,04/12/2023,"CBN,FLT,NFLT",3:30-18:30
ARC 211,04/12/2023,,3:30-18:30
STA 315,04/12/2023,SLT,3:30-18:30
ZOO318,04/12/2023,D11,3:30-18:30
ANT416,04/12/2023,"MCB412, LABAI, LABAB",3:30-18:30
ARC 111,05/12/2023,LR1,8:00-11:00
BIO216,05/12/2023,"ZLT,C7,C8,D1,D11",8:00-11:00
ICH287,05/12/2023,"FFL,C15",8:00-11:00
GEY234,05/12/2023,RM019,8:00-11:00
STA204,05/12/2023,"CBN,FLT,R124,023",8:00-11:00
ANT316,05/12/2023,,8:00-11:00
MCB307,05/12/2023,"LABA1,LABA8",8:00-11:00
PHY301,05/12/2023,200LAB,8:00-11:00
CSC431,05/12/2023,"KDLT,CLT",8:00-11:00
MAT403,05/12/2023,MLT,8:00-11:00
ZOO114,05/12/2023,"CBN,FLT,NFLT",12:00-15:00
ARC315,05/12/2023,,12:00-15:00
CHE325,05/12/2023,A9,12:00-15:00
MAT351,05/12/2023,"MLT,SLT",12:00-15:00
STA444,05/12/2023,SLT,12:00-15:00
MCB403,05/12/2023,"LABA1,LABA8",12:00-15:00
BOT441,05/12/2023,LABA1,12:00-15:00
CHE417,05/12/2023,FFL,12:00-15:00
GEO410,05/12/2023,,12:00-15:00
PHY403,05/12/2023,200LAB,12:00-15:00
STA414,05/12/2023,,12:00-15:00
ZOO111,05/12/2023,"CBN,FLT",3:30-18:30
BIO216,05/12/2023,"CBN,D11",3:30-18:30
MAT251,05/12/2023,NFLT,3:30-18:30
